voucher_id,voucher_code,discount_type,discount_value,valid_from,valid_to
1,SALES77,percentage,7.0,2023-07-07,2023-07-09
2,SALES88,percentage,8.0,2023-08-08,2023-08-10
3,SALES99,percentage,9.0,2023-09-09,2023-09-11
4,SALES10,percentage,10.0,2023-10-10,2023-10-12
5,SALES11,percentage,11.0,2023-11-11,2023-11-13
6,MERDEKA,fixed,5.0,2023-08-31,2023-09-02
7,SALES66,percentage,6.0,2024-06-06,2024-06-08
8,SALES77,percentage,7.0,2024-07-07,2024-07-09
9,SALES88,percentage,8.0,2024-08-08,2024-08-10
10,SALES99,percentage,9.0,2024-09-09,2024-09-11
11,SALES10,percentage,10.0,2024-10-10,2024-10-12
12,SALES11,percentage,11.0,2024-11-11,2024-11-13
13,MERDEKA,fixed,5.0,2024-08-31,2024-09-02
14,SALES50,percentage,50.0,2024-05-01,2024-05-01
15,SALES66,percentage,6.0,2025-06-06,2025-06-08
16,SALES50,percentage,50.0,2025-05-01,2025-05-01
